Date,House Prices,Country
01/01/2020,247898,England
01/02/2020,246739,England
01/03/2020,249121,England
01/04/2020,246424,England
01/05/2020,247499,England
01/06/2020,250739,England
01/07/2020,253226,England
01/08/2020,255802,England
01/09/2020,258155,England
01/10/2020,259592,England
01/11/2020,262409,England
01/12/2020,264971,England
01/01/2021,266588,England
01/02/2021,267192,England
01/03/2021,270627,England
01/04/2021,267500,England
01/05/2021,267295,England
01/06/2021,284252,England
01/07/2021,267745,England
01/08/2021,276457,England
01/09/2021,286832,England
01/10/2021,279281,England
01/11/2021,284326,England
01/12/2021,286235,England
01/01/2022,290724,England
01/02/2022,292005,England
01/03/2022,293721,England
01/04/2022,295928,England
01/05/2022,299851,England
01/06/2022,302869,England
01/07/2022,309139,England
01/08/2022,313526,England
01/09/2022,315355,England
01/10/2022,316073,England
01/01/2020,163205,Wales 
01/02/2020,165953,Wales 
01/03/2020,167040,Wales 
01/04/2020,160039,Wales 
01/05/2020,162701,Wales 
01/06/2020,167384,Wales 
01/07/2020,168416,Wales 
01/08/2020,172999,Wales 
01/09/2020,170030,Wales 
01/10/2020,175948,Wales 
01/11/2020,178255,Wales 
01/12/2020,181274,Wales 
01/01/2021,181118,Wales 
01/02/2021,179554,Wales 
01/03/2021,184807,Wales 
01/04/2021,182377,Wales 
01/05/2021,185654,Wales 
01/06/2021,196221,Wales 
01/07/2021,187050,Wales 
01/08/2021,192019,Wales 
01/09/2021,198146,Wales 
01/10/2021,200151,Wales 
01/11/2021,199411,Wales 
01/12/2021,202180,Wales 
01/01/2022,205571,Wales 
01/02/2022,203226,Wales 
01/03/2022,205461,Wales 
01/04/2022,209872,Wales 
01/05/2022,211409,Wales 
01/06/2022,213777,Wales 
01/07/2022,218087,Wales 
01/08/2022,219467,Wales 
01/09/2022,223708,Wales 
01/10/2022,223824,Wales 
01/01/2020,153518,Scotland 
01/02/2020,149582,Scotland 
01/03/2020,150625,Scotland 
01/04/2020,151779,Scotland 
01/05/2020,152914,Scotland 
01/06/2020,155329,Scotland 
01/07/2020,154582,Scotland 
01/08/2020,154707,Scotland 
01/09/2020,160585,Scotland 
01/10/2020,163019,Scotland 
01/11/2020,164032,Scotland 
01/12/2020,162375,Scotland 
01/01/2021,164940,Scotland 
01/02/2021,161847,Scotland 
01/03/2021,167913,Scotland 
01/04/2021,161814,Scotland 
01/05/2021,168589,Scotland 
01/06/2021,172341,Scotland 
01/07/2021,175659,Scotland 
01/08/2021,178076,Scotland 
01/09/2021,178865,Scotland 
01/10/2021,179557,Scotland 
01/11/2021,181503,Scotland 
01/12/2021,177243,Scotland 
01/01/2022,183445,Scotland 
01/02/2022,179490,Scotland 
01/03/2022,180964,Scotland 
01/04/2022,184109,Scotland 
01/05/2022,186967,Scotland 
01/06/2022,190668,Scotland 
01/07/2022,193090,Scotland 
01/08/2022,193708,Scotland 
01/09/2022,192804,Scotland 
01/10/2022,194874,Scotland 
01/01/2020,140722,Northern Ireland
01/02/2020,140722,Northern Ireland
01/03/2020,140722,Northern Ireland
01/04/2020,140841,Northern Ireland
01/05/2020,140841,Northern Ireland
01/06/2020,140841,Northern Ireland
01/07/2020,143723,Northern Ireland
01/08/2020,143723,Northern Ireland
01/09/2020,143723,Northern Ireland
01/10/2020,147475,Northern Ireland
01/11/2020,147475,Northern Ireland
01/12/2020,147475,Northern Ireland
01/01/2021,149084,Northern Ireland
01/02/2021,149084,Northern Ireland
01/03/2021,149084,Northern Ireland
01/04/2021,154323,Northern Ireland
01/05/2021,154323,Northern Ireland
01/06/2021,154323,Northern Ireland
01/07/2021,159098,Northern Ireland
01/08/2021,159098,Northern Ireland
01/09/2021,159098,Northern Ireland
01/10/2021,159073,Northern Ireland
01/11/2021,159073,Northern Ireland
01/12/2021,159073,Northern Ireland
01/01/2022,163877,Northern Ireland
01/02/2022,163877,Northern Ireland
01/03/2022,163877,Northern Ireland
01/04/2022,169152,Northern Ireland
01/05/2022,169152,Northern Ireland
01/06/2022,169152,Northern Ireland
01/07/2022,176131,Northern Ireland
01/08/2022,176131,Northern Ireland
01/09/2022,176131,Northern Ireland
01/10/2022,176131,Northern Ireland
