Date,House Prices,Country
Jan-21,266588,England
Feb-21,267192,England
Mar-21,270627,England
Apr-21,267500,England
May-21,267295,England
Jun-21,284252,England
Jul-21,267745,England
Aug-21,276457,England
Sep-21,286832,England
Oct-21,279281,England
Nov-21,284326,England
Dec-21,286235,England
Jan-22,290724,England
Feb-22,292005,England
Mar-22,293721,England
Apr-22,295928,England
May-22,299851,England
Jun-22,302869,England
Jul-22,309139,England
Aug-22,313526,England
Sep-22,315355,England
Oct-22,316073,England
Jan-21,181118,Wales
Feb-21,179554,Wales
Mar-21,184807,Wales
Apr-21,182377,Wales
May-21,185654,Wales
Jun-21,196221,Wales
Jul-21,187050,Wales
Aug-21,192019,Wales
Sep-21,198146,Wales
Oct-21,200151,Wales
Nov-21,199411,Wales
Dec-21,202180,Wales
Jan-22,205571,Wales
Feb-22,203226,Wales
Mar-22,205461,Wales
Apr-22,209872,Wales
May-22,211409,Wales
Jun-22,213777,Wales
Jul-22,218087,Wales
Aug-22,219467,Wales
Sep-22,223708,Wales
Oct-22,223824,Wales
Jan-21,164940,Scotland 
Feb-21,161847,Scotland 
Mar-21,167913,Scotland 
Apr-21,161814,Scotland 
May-21,168589,Scotland 
Jun-21,172341,Scotland 
Jul-21,175659,Scotland 
Aug-21,178076,Scotland 
Sep-21,178865,Scotland 
Oct-21,179557,Scotland 
Nov-21,181503,Scotland 
Dec-21,177243,Scotland 
Jan-22,183445,Scotland 
Feb-22,179490,Scotland 
Mar-22,180964,Scotland 
Apr-22,184109,Scotland 
May-22,186967,Scotland 
Jun-22,190668,Scotland 
Jul-22,193090,Scotland 
Aug-22,193708,Scotland 
Sep-22,192804,Scotland 
Oct-22,194874,Scotland 
Jan-21,149084,Northern Ireland
Feb-21,149084,Northern Ireland
Mar-21,149084,Northern Ireland
Apr-21,154323,Northern Ireland
May-21,154323,Northern Ireland
Jun-21,154323,Northern Ireland
Jul-21,159098,Northern Ireland
Aug-21,159098,Northern Ireland
Sep-21,159098,Northern Ireland
Oct-21,159073,Northern Ireland
Nov-21,159073,Northern Ireland
Dec-21,159073,Northern Ireland
Jan-22,163877,Northern Ireland
Feb-22,163877,Northern Ireland
Mar-22,163877,Northern Ireland
Apr-22,169152,Northern Ireland
May-22,169152,Northern Ireland
Jun-22,169152,Northern Ireland
Jul-22,176131,Northern Ireland
Aug-22,176131,Northern Ireland
Sep-22,176131,Northern Ireland
Oct-22,176131,Northern Ireland
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
