Date,House_Prices,areaName
Jan-05,158572,England
Feb-05,158609,England
Mar-05,159642,England
Apr-05,161336,England
May-05,163064,England
Jun-05,164069,England
Jul-05,165756,England
Aug-05,166440,England
Sep-05,166168,England
Oct-05,165637,England
Nov-05,166303,England
Dec-05,167244,England
Jan-06,166544,England
Feb-06,166896,England
Mar-06,168001,England
Apr-06,171129,England
May-06,172699,England
Jun-06,174231,England
Jul-06,176164,England
Aug-06,177603,England
Sep-06,178275,England
Oct-06,178927,England
Nov-06,179718,England
Dec-06,182031,England
Jan-07,181824,England
Feb-07,182397,England
Mar-07,183712,England
Apr-07,186711,England
May-07,188814,England
Jun-07,190822,England
Jul-07,193360,England
Aug-07,194328,England
Sep-07,194764,England
Oct-07,194700,England
Nov-07,194502,England
Dec-07,194373,England
Jan-08,191750,England
Feb-08,190066,England
Mar-08,188657,England
Apr-08,189115,England
May-08,189777,England
Jun-08,187350,England
Jul-08,185844,England
Aug-08,181494,England
Sep-08,177232,England
Oct-08,173249,England
Nov-08,168230,England
Dec-08,165795,England
Jan-09,162673,England
Feb-09,160956,England
Mar-09,159340,England
Apr-09,160701,England
May-09,162740,England
Jun-09,164536,England
Jul-09,167673,England
Aug-09,169603,England
Sep-09,171214,England
Oct-09,172314,England
Nov-09,172818,England
Dec-09,174136,England
Jan-10,174458,England
Feb-10,175248,England
Mar-10,174765,England
Apr-10,176796,England
May-10,177754,England
Jun-10,178655,England
Jul-10,180519,England
Aug-10,180807,England
Sep-10,180231,England
Oct-10,178102,England
Nov-10,176301,England
Dec-10,176036,England
Jan-11,174442,England
Feb-11,173811,England
Mar-11,173046,England
Apr-11,175490,England
May-11,174668,England
Jun-11,174838,England
Jul-11,177164,England
Aug-11,177335,England
Sep-11,176783,England
Oct-11,175171,England
Nov-11,175200,England
Dec-11,174812,England
Jan-12,174179,England
Feb-12,174161,England
Mar-12,174323,England
Apr-12,176543,England
May-12,177026,England
Jun-12,178696,England
Jul-12,179756,England
Aug-12,180129,England
Sep-12,179563,England
Oct-12,178412,England
Nov-12,178662,England
Dec-12,178406,England
Jan-13,176816,England
Feb-13,177203,England
Mar-13,178189,England
Apr-13,179900,England
May-13,180621,England
Jun-13,182088,England
Jul-13,184274,England
Aug-13,185642,England
Sep-13,186082,England
Oct-13,185358,England
Nov-13,186260,England
Dec-13,188544,England
Jan-14,188265,England
Feb-14,189347,England
Mar-14,190037,England
Apr-14,194251,England
May-14,196171,England
Jun-14,197951,England
Jul-14,200825,England
Aug-14,203406,England
Sep-14,203639,England
Oct-14,203311,England
Nov-14,202704,England
Dec-14,203346,England
Jan-15,202856,England
Feb-15,203424,England
Mar-15,203360,England
Apr-15,205936,England
May-15,208265,England
Jun-15,209874,England
Jul-15,213518,England
Aug-15,215756,England
Sep-15,216350,England
Oct-15,216676,England
Nov-15,218500,England
Dec-15,219582,England
Jan-16,220361,England
Feb-16,220627,England
Mar-16,222663,England
Apr-16,223784,England
May-16,226370,England
Jun-16,228430,England
Jul-16,230868,England
Aug-16,231176,England
Sep-16,230848,England
Oct-16,229944,England
Nov-16,231053,England
Dec-16,231922,England
Jan-17,231593,England
Feb-17,232696,England
Mar-17,231760,England
