Year,Inflation Rate (%),AreaName
1989,12.47,Global
1990,10.24,Global
1991,8.77,Global
1992,8.12,Global
1993,6.86,Global
1994,5.82,Global
1995,5.76,Global
1996,7.15,Global
1997,7,Global
1998,8.13,Global
1999,9,Global
2000,7.71,Global
2001,7.51,Global
2002,10.32,Global
2003,9.15,Global
2004,6.55,Global
2005,5.57,Global
2006,5.11,Global
2007,3.08,Global
2008,3.49,Global
2009,3.84,Global
2010,2.83,Global
2011,3.03,Global
2012,3.38,Global
2013,4.11,Global
2014,4.28,Global
2015,4.82,Global
2016,8.95,Global
2017,2.94,Global
2018,3.35,Global
2019,4.82,Global
2020,3.73,Global
2021,2.62,Global
