Month,Year,Wage_Growth_Rate,Type_of_pay
Jan,2020,1.4,Total pay (real)
Feb,2020,1.2,Total pay (real)
Mar,2020,0.7,Total pay (real)
Apr,2020,-0.4,Total pay (real)
May,2020,-1.4,Total pay (real)
Jun,2020,-2.1,Total pay (real)
Jul,2020,-1.8,Total pay (real)
Aug,2020,-0.7,Total pay (real)
Sep,2020,0.5,Total pay (real)
Oct,2020,2,Total pay (real)
Nov,2020,3,Total pay (real)
Dec,2020,3.9,Total pay (real)
Jan,2021,4.1,Total pay (real)
Feb,2021,3.7,Total pay (real)
Mar,2021,3.3,Total pay (real)
Apr,2021,4.6,Total pay (real)
May,2021,5.9,Total pay (real)
Jun,2021,7.1,Total pay (real)
Jul,2021,6.2,Total pay (real)
Aug,2021,4.7,Total pay (real)
Sept,2021,3.2,Total pay (real)
Oct,2021,1.7,Total pay (real)
Nov,2021,0.5,Total pay (real)
Dec,2021,0.2,Total pay (real)
Jan,2022,0.2,Total pay (real)
Feb,2022,0.6,Total pay (real)
Mar,2022,1.4,Total pay (real)
Apr,2022,0.4,Total pay (real)
May,2022,-0.8,Total pay (real)
Jun,2022,-2.5,Total pay (real)
Jul,2022,-2.5,Total pay (real)
Aug,2022,-2.3,Total pay (real)
Sep,2022,-2.6,Total pay (real)
Oct,2022,-2.7,Total pay (real)
