Date,Total pay (nominal),Regular pay (nominal),Total pay (real),Regular pay (real)
Nov to Jan 2021,4.9,4.2,4.1,3.5
Dec to Feb 2021,4.5,4.4,3.7,3.5
Jan to Mar 2021,3.9,4.6,3.3,3.6
Feb to Apr 2021,5.5,5.7,4.6,4.4
Mar to May 2021,7.4,6.6,5.9,5
Apr to Jun 2021,9.2,7.3,7.1,5.3
May to Jul 2021,8.6,6.8,6.2,4.6
Jun to Aug 2021,7.2,6,4.7,3.4
Jul to Sept 2021,5.9,5,3.2,2.2
Aug to Oct 2021,4.9,4.3,1.7,1
Sept to Nov 2021,4.2,3.8,0.5,0
Oct to Dec 2021,4.6,3.7,0.2,-0.7
Nov to Jan 2022,4.9,3.8,0.2,-0.9
Dec to Feb 2022,5.6,4.1,0.6,-1
Jan to Mar 2022,7,4.2,1.4,-1.2
Feb to Apr 2022,6.9,4.2,0.4,-2.2
Mar to May 2022,6.4,4.4,-0.8,-2.6
Apr to Jun 2022,5.2,4.7,-2.5,-3
May to Jul 2022,5.5,5.2,-2.5,-2.8
Jun to Aug 2022,6.1,5.5,-2.3,-2.8
Jul to Sep 2022 ,6,5.8,-2.6,-2.7
Aug to Oct 2022,6.1,6.1,-2.7,-2.7
