Geography,Geography_code,Category,CPIH_Index
United Kingdom,K02000001,Food and non-alcoholic beverages,123.4
United Kingdom,K02000001,Alcoholic beverages and tobacco,127.7
United Kingdom,K02000001,Clothing and footwear,113.7
United Kingdom,K02000001,"Housing, water, electricity, gas
and other fuels",125.8
United Kingdom,K02000001,"Furniture, household equipment
and maintenance",123.8
United Kingdom,K02000001,Health,119.9
United Kingdom,K02000001,Transport,135.7
United Kingdom,K02000001,Communication,119.3
United Kingdom,K02000001,Recreation and culture,120.4
United Kingdom,K02000001,Education,129.4
United Kingdom,K02000001,Restaurants and hotels,130.9
United Kingdom,K02000001,Miscellaneous goods and services,112.6
