Name,Population of Communes
Luxembourg-City,122273
Esch-sur-Alzette,36218
Differdange,27409
Dudelange,21291
Pétange,19574
Sanem,17550
Hesperange,15584
Bettembourg,11319
Schifflange,11293
Käerjeng,10464
Mamer,9913
Strassen,9888
Mersch,9816
Kayl,9506
Ettelbruck,9148
Bertrange,8432
Walferdange,8424
Junglinster,8090
Wiltz,7273
Diekirch,7042
Mondercange,7007
Roeser,6551
Niederanven,6312
Kehlen,6232
Echternach,5617
Rumelange,5604
Clervaux,5463
Steinfort,5459
Steinsel,5443
Mondorf-les-Bains,5359
Grevenmacher,4936
Schengen,4924
Frisange,4746
Habscht,4730
Mertert,4635
Wincrange,4503
Rambrouch,4480
Dippach,4449
Helperknapp,4387
Schuttrange,4274
Lorentzweiler,4246
Betzdorf,4093
Kopstal,4038
Contern,3939
Remich,3732
Sandweiler,3698
Parc Hosingen,3669
Rosport-Mompach,3613
Troisvierges,3296
Bissen,3216
Lintgen,3155
Wormeldange,2970
Bettendorf,2907
Redange,2905
Beaufort,2885
Esch-sur-Sûre,2855
Beckerich,2708
Leudelange,2702
Vallée de l'Ernz,2653
Koerich,2616
Reckange-sur-Mess,2594
Erpeldange-sur-Sûre,2482
Weiler-la-Tour,2404
Dalheim,2356
Mertzig,2293
Feulen,2224
Tandel,2222
Larochette,2194
Garnich,2193
Colmar-Berg,2192
Manternach,2181
Flaxweiler,2148
Vianden,2138
Consdorf,2101
Schieren,2039
Lenningen,2017
Lac de la Haute-Sûre,2013
Weiswampach,2005
Stadtbredimus,1947
Useldange,1942
Berdorf,1868
Biwer,1834
Waldbillig,1832
Bourscheid,1718
Préizerdaul,1698
Bous,1669
Goesdorf,1568
Heffingen,1504
Ell,1425
Nommern,1401
Winseler,1365
Boulaide,1344
Vichten,1276
Reisdorf,1273
Bech,1240
Waldbredimus,1215
Fischbach,1214
Kiischpelt,1150
Putscheid,1111
Grosbous,1034
Wahl,1034
Saeul,857
