Place Name,Latitude,Longitude
"York, UK",53.958332,-1.080278
"Worcester, Worcestershire, the UK",52.192001,-2.22
"Winchester, Hampshire, the UK",51.063202,-1.308
"Wells, South West England, the UK",51.209,-2.647
"Wakefield, West Yorkshire, the UK",53.68,-1.49
"Truro, Cornwall, the UK",50.259998,-5.051
"Sunderland, North East, the UK",54.906101,-1.38113
"Sheffield, South Yorkshire, the UK",53.383331,-1.466667
"Salford, North West, the UK",53.483002,-2.2931
"St. Davids, Wales, the UK",51.882,-5.269
"St.Albans, Hertfordshire, the UK",51.755001,-0.336
"Ripon, North Yorkshire, the UK",54.138,-1.524
"Portsmouth, Hampshire, the UK",50.805832,-1.087222
"Perth, Scotland, the UK",56.396999,-3.437
"Nottingham, the UK",52.950001,-1.15
"Newry, Northern Ireland, the UK",54.175999,-6.349
"Newcastle Upon Tyne, the UK",54.966667,-1.6
"Liverpool, the UK",53.400002,-2.983333
"Lincoln, Lincolnshire, the UK",53.234444,-0.538611
"Lichfield, Staffordshire, the UK",52.683498,-1.82653
"Leicester, the East Midlands, the UK",52.633331,-1.133333
"Lancaster, Lancashire, the UK",54.047001,-2.801
"Hereford, Herefordshire, the UK",52.056499,-2.716
"Gloucester, Gloucestershire, the UK",51.864445,-2.244444
"Glasgow, the UK",55.860916,-4.251433
"Exeter, the UK",50.716667,-3.533333
"Ely, Cambridgeshire, the UK",52.398056,0.262222
"Durham, the UK",54.7761,-1.5733
"Dundee, Scotland, the UK",56.462002,-2.9707
"Derry, Northern Ireland, the UK",54.9958,-7.3074
"Derby, Derbyshire, the UK",52.916668,-1.466667
"Coventry, West Midlands, the UK",52.408054,-1.510556
"Chichester, West Sussex, the UK",50.836498,-0.7792
"Chester, Chesire, the UK",53.189999,-2.89
"Chelmsford, Essex, the UK",51.736099,0.4798
"Carlisle, North West, the UK",54.890999,-2.944
"Canterbury, Kent, the UK",51.279999,1.08
"Cambridge, Cambridgeshire, the UK",52.205276,0.119167
"Brighton & Hove, East Sussex, the UK",50.827778,-0.152778
"Bradford, West Yorkshire, the UK",53.799999,-1.75
"Bath, Somerset, the UK",51.380001,-2.36
"Peterborough, Cambridgeshire, the UK",52.573921,-0.25083
"Elgin, Scotland, the UK",57.653484,-3.335724
"Stoke-on-Trent, Staffordshire, the UK",53.002666,-2.179404
"Solihull, Birmingham, UK",52.412811,-1.778197
"Cardiff, Wales, UK",51.481583,-3.17909
"Eastbourne, East Sussex, UK",50.768036,0.290472
"Oxford, UK",51.752022,-1.257677
"London, the UK",51.509865,-0.118092
"Swindon, Swindon, UK",51.568535,-1.772232
"Gravesend, Kent, UK",51.441883,0.370759
"Northampton, Northamptonshire, UK",52.240479,-0.902656
"Rugby, Warwickshire, UK",52.370876,-1.265032
"Sutton Coldfield, West Midlands, UK",52.570385,-1.824042
"Harlow, Essex, UK",51.772938,0.10231
"Aberdeen, UK",57.149651,-2.099075
"Swansea, UK",51.621441,-3.943646
"Chesterfield, Derbyshire, UK",53.235046,-1.421629
"Lisburn, Ireland, UK",54.50972,-6.0374
"Londonderry, Derry, UK",55.006763,-7.318268
"Salisbury, Wiltshire, UK",51.068787,-1.794472
"Manchester, UK",53.483959,-2.244644
"Bristol, UK",51.454514,-2.58791
"Wolverhampton, West Midlands, UK",52.59137,-2.110748
"Preston, Lancashire, UK",53.765762,-2.692337
"Ayr, South Ayrshire, UK",55.458565,-4.629179
"Hastings, East Sussex, UK",50.854259,0.573453
"Bedford, UK",52.136436,-0.460739
"Basildon, Essex, UK",51.572376,0.470009
"Chippenham, Wiltshire, UK",51.458057,-2.116074
"Birmingham, West Midlands, UK",52.489471,-1.898575
"Folkestone, Kent, UK",51.081398,1.169456
"Edinburgh, Scotland, UK",55.953251,-3.188267
"Southampton, UK",50.909698,-1.404351
"Belfast, Northern Ireland, the UK",54.607868,-5.926437
"Uckfield, East Sussex, UK",50.967941,0.085831
"Worthing, West Sussex, UK",50.825024,-0.383835
"Leeds, West Yorkshire, UK",53.801277,-1.548567
"Kendal, Cumbria, UK",54.328506,-2.74387
"Hull, the UK",53.76775,-0.335827
"Plymouth, UK",50.376289,-4.143841
"Inverness, the UK",57.477772,-4.224721
