Year,Inflation ,areaName
2000,1.2,UK
2001,1.6,UK
2002,1.5,UK
2003,1.4,UK
2004,1.4,UK
2005,2.1,UK
2006,2.5,UK
2007,2.4,UK
2008,3.5,UK
2009,2,UK
2010,2.5,UK
2011,3.8,UK
2012,2.6,UK
2013,2.3,UK
2014,1.5,UK
2015,0.4,UK
2016,1,UK
2017,2.6,UK
2018,2.3,UK
2019,1.7,UK
2020,1,UK
2021,2.5,UK
2000,7.71,Global
2001,7.51,Global
2002,10.32,Global
2003,9.15,Global
2004,6.55,Global
2005,5.57,Global
2006,5.11,Global
2007,3.08,Global
2008,3.49,Global
2009,3.84,Global
2010,2.83,Global
2011,3.03,Global
2012,3.38,Global
2013,4.11,Global
2014,4.28,Global
2015,4.82,Global
2016,8.95,Global
2017,2.94,Global
2018,3.35,Global
2019,4.82,Global
2020,3.73,Global
2021,2.62,Global
